병원코드(쇼핑몰),병원명,주소,병원코드(SAP)
4944,마노성형외과의원,서울 서초구 강남대로 605 (잠원동. 세양21세기 휴먼TOWER),sap206
4945,다시봄날의원 마곡,서울 강서구 마곡중앙8로 85 (마곡동. 파인스퀘어Ⅱ),sap207
4946,블리비의원 제주,제주특별자치도 제주시 노형로 407 (노형동. 노형타워),sap208
4947,밴스의원 충주,충북 충주시 갱고개로 147 (연수동),sap209
4948,밴스의원 판교점,경기 성남시 분당구 분당내곡로 117 (백현동. 그레이츠 판교(GREITS PANGYO)),sap210
4949,톤즈의원 동탄점,경기 화성시 동탄원천로 157 (반송동. 오피스타워),sap211
4950,블리비의원 서면,부산 부산진구 중앙대로 694 (부전동. 쥬디스태화),sap212
4951,압구정비앤미의원,서울 강남구 압구정로46길 5-10 (신사동. 압구정로데오스타),sap213
4952,힐리브의원,서울 강남구 도산대로 106 (논현동. BK성형외과),sap214
4953,미인도의원,인천 미추홀구 독배로 309 (용현동. 노블레스타워),sap215
4954,몬스터의원,서울 강남구 압구정로30길 16 (신사동. 아크힐즈16),sap216
4955,다은의원,경기 평택시 중앙2로 121 (합정동),sap217
4956,메이드유의원,서울 강남구 강남대로 516 (논현동. 제아메디컬빌딩),sap218
4958,필로스의원,서울 강남구 신사동 653,sap219
4959,해피아이리스의원,서울 송파구 오금로 543 (거여동),sap220
4960,다오의원,서울 중구 퇴계로 123 (충무로2가. 하이헤리엇),sap221
4961,더아이비의원,경기 용인시 수지구 광교중앙로 314 (상현동. 세현빌딩),sap222
4962,메이린청담의원,서울 강남구 압구정로 432 (청담동),sap223
4964,블리비의원 동대문,서울 동대문구 왕산로 190 (전농동),sap224
4965,피부사랑피부과의원,강원특별자치도 춘천시 금강로 68-2 (조양동),sap225
4966,미톡스외과의원,서울 송파구 가락로 183 (송파동. 한양아파트상가),sap226
4967,글로벌 쁨의원,서울 서초구 서초대로77길 55 (서초동. 에이프로 스퀘어),sap227
4968,이레피부과,서울특별시 용산구 서빙고로 17 (한강로3가),sap228
4970,톤즈의원 강남점,서울특별시 서초구 강남대로 439 (서초동) 유화빌딩,sap229
4971,톡스앤필의원,경기 부천시 길주로 273 (중동. 신명타운),sap230
4972,밴스의원/용산점,서울 용산구 새창로 217 (한강로2가. 용산토투밸리),sap231
4973,데이뷰의원 마포홍대점,서울 마포구 양화로 165 (동교동. 상진빌딩),sap232
4975,동탄스노우의원,경기 화성시 동탄대로 446 (청계동. 동탄역 그란비아스타),sap233
4976,올리팅성형외과의원,서울 강남구 강남대로 402 (역삼동. 시계탑빌딩),sap234
4978,리베리의원 청주점,충북 청주시 청원구 오창읍 중심상업로 27 (양청리. 엔젤알파),sap235
4979,리베리의원 영종도점,인천 중구 하늘중앙로195번길 20 (중산동),sap236
4981,아비쥬의원 홍대점,서울 마포구 양화로 162 (동교동. 좋은사람들 빌딩),sap237
4982,리베리의원,경기 하남시 감일중앙로 60 (감이동. 감일 벨솔레 파크),sap238
4984,다시온 의원,서울 강남구 강남대로 320 (역삼동. 황화빌딩),sap239
4986,허니즈의원,인천 남동구 인하로489번길 10 (구월동. 시티프라자),sap240
4987,포에버성형외과의원,서울 강남구 논현동 66-24,sap241
4988,나다움의원,인천 연수구 하모니로 158 (송도동. 송도타임스페이스),sap242
4989,미켈란에이치의원,경기 성남시 분당구 정자동 180,sap243
4990,라르떼의원,서울 강동구 올림픽로 664 (천호동. 대우 한강 베네시티),sap244
4991,세라의원,경기 성남시 분당구 분당로53번길 11 (서현동. 서원플라자),sap245
